X,Y,Z,Cu,HoleId,ClusterId
2333.75,5158,2582.76,0.61,15,-1
2335.25,5158,2580.16,0.61,15,-1
2801,4796,2573.8,0.87,21,-1
2801,4796,2570.8,0.87,21,-1
2801,4796,2564.8,0.74,21,-1
2801,4796,2561.8,0.74,21,-1
3118.42,5614.25,2554.36,1.18,21,-1
3117.56,5613.02,2551.76,0.98,21,-1
3116.7,5611.8,2549.16,0.98,21,-1
2343.5,5066.7,2650.4,0.8,36,-1
2343.5,5066.7,2647.4,0.8,36,-1
2343.5,5066.7,2644.4,0.72,36,-1
2343.5,5066.7,2641.4,0.72,36,-1
2611.69,4772.04,2631.28,0.86,37,-1
2612.55,4773.27,2628.69,1.1,37,-1
2613.41,4774.49,2626.09,1.1,37,-1
2745.1,4844.4,2278.6,0.83,45,-1
2745.1,4844.4,2275.6,0.85,45,-1
2745.1,4844.4,2272.6,0.72,45,-1
2745.1,4844.4,2269.6,0.72,45,-1
2745.1,4844.4,2266.6,0.57,45,-1
2745.1,4844.4,2263.6,0.57,45,-1
3260.8,5375.5,2399.2,0.73,47,-1
3244.6,5457.9,2447.6,1.33,50,-1
3244.6,5457.9,2444.6,1.33,50,-1
3244.6,5457.9,2441.6,0.99,50,-1
3244.6,5457.9,2438.6,1.06,50,-1
3244.6,5457.9,2435.6,1.06,50,-1
3244.6,5457.9,2432.6,1.2,50,-1
3244.6,5457.9,2429.6,1.2,50,-1
3244.6,5457.9,2426.6,1.14,50,-1
3244.6,5457.9,2423.6,1.18,50,-1
3244.6,5457.9,2420.6,1.18,50,-1
3244.6,5457.9,2417.6,1.1,50,-1
3244.6,5457.9,2414.6,1.1,50,-1
3244.6,5457.9,2411.6,1.16,50,-1
3244.6,5457.9,2408.6,1.01,50,-1
3244.6,5457.9,2405.6,1.01,50,-1
3244.6,5457.9,2402.6,0.97,50,-1
3244.6,5457.9,2399.6,0.97,50,-1
3244.6,5457.9,2396.6,0.94,50,-1
2918.28,4828,2284.75,0.9,62,-1
2917.92,4828,2283.3,0.9,62,-1
2917.42,4828,2281.28,0.86,62,-1
2916.69,4828,2278.37,0.86,62,-1
2915.97,4828,2275.46,0.82,62,-1
2915.24,4828,2272.55,0.82,62,-1
2914.51,4828,2269.64,1.19,62,-1
2544,5258.9,2246.8,0.83,73,-1
2544,5258.9,2243.8,0.83,73,-1
2544,5258.9,2240.8,0.87,73,-1
2544,5258.9,2237.8,0.87,73,-1
2544,5258.9,2234.8,0.89,73,-1
2544,5258.9,2231.8,1.01,73,-1
2544,5258.9,2228.8,1.01,73,-1
2544,5258.9,2225.8,0.9,73,-1
2544,5258.9,2222.8,0.9,73,-1
2544,5258.9,2219.8,1.1,73,-1
2544,5258.9,2216.8,1.14,73,-1
2544,5258.9,2213.8,1.14,73,-1
2544,5258.9,2210.8,1.04,73,-1
2544,5258.9,2207.8,1.04,73,-1
2544,5258.9,2201.8,1.07,73,-1
2544,5258.9,2198.8,1.07,73,-1
2544,5258.9,2195.8,0.89,73,-1
2544,5258.9,2192.8,0.89,73,-1
2544,5258.9,2189.8,0.83,73,-1
3094.5,5306.8,2635.7,0.7,0,0
3122.33,5391.5,2614.78,1.2,60,0
3001.5,5319.5,2585.3,1.69,66,0
3099.1,5369.4,2540.7,0.63,14,0
3043.1,5254.6,2628,3.33,29,0
3063.05,5313.9,2495.4,0.82,25,0
3001.5,5319.5,2552.3,1.14,66,0
3001.5,5319.5,2618.3,1.51,66,0
3082.88,5313.9,2529.74,0.96,25,0
3099.1,5369.4,2546.7,0.56,14,0
3094.7,5409.7,2607.9,1.44,51,0
2983.8,5237.2,2582.4,1.92,1,0
3043.1,5254.6,2601,2.76,29,0
3047.2,5208.1,2612.6,1.43,31,0
3001.5,5319.5,2528.3,0.97,66,0
2989.5,5361,2616.6,1.16,38,0
3001.5,5319.5,2630.3,1.31,66,0
3079.55,5313.9,2523.98,0.83,25,0
3099.1,5369.4,2531.7,0.61,14,0
3099.1,5369.4,2561.7,0.76,14,0
3106.55,5313.9,2570.75,0.93,25,0
3068.87,5391.5,2551.08,0.76,60,0
3094.7,5409.7,2595.9,1.1,51,0
3043.1,5254.6,2532,1.78,29,0
2997.4,5256.6,2608.9,2.56,6,0
